% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
4478	0	1	1	449	3	449	1	42	6	1	5	0	255	10	2	0	16	255	0
4479	0	2	2	449	4	449	1	139	6	1	17	0	255	10	25	0	16	255	0
4479	0	5	5	449	4	449	1	101	6	1	40	0	255	10	22	0	16	255	0
4481	0	5	5	449	6	449	1	101	6	1	12	0	255	10	22	0	16	255	0
4482	0	4	4	449	7	449	1	152	6	1	47	0	255	10	1	0	16	255	0
4483	0	2	2	449	8	449	1	139	6	1	45	0	255	10	25	0	16	255	0
4517	0	2	2	453	2	453	1	145	6	1	18	0	255	10	21	0	16	255	0
4521	0	1	1	453	6	453	1	159	6	1	47	0	255	10	25	0	16	255	0
4522	0	2	2	453	7	453	1	145	6	1	46	0	255	10	21	0	16	255	0
4523	0	1	1	453	8	453	1	159	6	1	19	0	255	10	25	0	16	255	0
4557	0	2	2	457	2	457	1	81	6	1	10	0	255	10	16	0	16	255	0
4558	0	1	1	457	3	457	1	18	6	1	2	0	255	10	38	0	16	255	0
4558	0	3	3	457	3	457	1	51	6	1	34	0	255	10	22	0	16	255	0
4559	0	3	3	457	4	457	1	51	6	1	6	0	255	10	22	0	16	255	0
4561	0	1	1	457	6	457	1	18	6	1	30	0	255	10	38	0	16	255	0
4561	0	2	2	457	6	457	1	81	6	1	38	0	255	10	16	0	16	255	0
4596	0	1	1	461	1	461	1	40	6	1	5	0	255	10	37	0	16	255	0
4596	0	2	2	461	1	461	1	21	6	1	30	0	255	10	7	0	16	255	0
4598	0	3	3	461	3	461	1	170	6	1	21	0	255	10	2	0	16	255	0
4599	0	3	3	461	4	461	1	170	6	1	49	0	255	10	2	0	16	255	0
4601	0	2	2	461	6	461	1	21	6	1	2	0	255	10	7	0	16	255	0
4602	0	1	1	461	7	461	1	40	6	1	33	0	255	10	37	0	16	255	0
4638	0	2	2	465	3	465	1	2	6	1	0	0	255	10	14	0	16	255	0
4639	0	2	2	465	4	465	1	2	6	1	28	0	255	10	14	0	16	255	0
4639	0	3	3	465	4	465	1	139	6	1	17	0	255	10	21	0	16	255	0
4641	0	1	1	465	6	465	1	54	6	1	34	0	255	10	11	0	16	255	0
4642	0	1	1	465	7	465	1	54	6	1	6	0	255	10	11	0	16	255	0
4643	0	3	3	465	8	465	1	139	6	1	45	0	255	10	21	0	16	255	0
4677	0	1	1	469	2	469	1	25	6	1	3	0	255	10	2	0	16	255	0
4677	0	2	2	469	2	469	1	113	6	1	14	0	255	10	1	0	16	255	0
4678	0	2	2	469	3	469	1	113	6	1	42	0	255	10	1	0	16	255	0
4680	0	3	3	469	5	469	1	39	6	1	32	0	255	10	19	0	16	255	0
4681	0	1	1	469	6	469	1	25	6	1	31	0	255	10	2	0	16	255	0
4683	0	3	3	469	8	469	1	39	6	1	4	0	255	10	19	0	16	255	0
4718	0	1	1	473	3	473	1	90	6	1	11	0	255	10	12	0	16	255	0
4718	0	2	2	473	3	473	1	30	6	1	31	0	255	10	15	0	16	255	0
4722	0	2	2	473	7	473	1	30	6	1	3	0	255	10	15	0	16	255	0
4723	0	1	1	473	8	473	1	90	6	1	39	0	255	10	12	0	16	255	0
4757	0	1	1	477	2	477	1	148	6	1	46	0	255	10	40	0	16	255	0
4760	0	1	1	477	5	477	1	148	6	1	18	0	255	10	40	0	16	255	0
