% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3488	0	4	2	0	16	389	0	1	0	0.464057
3488	0	5	1	0	16	389	0	1	0	0.143965
3488	0	5	2	0	16	389	0	1	0	0.342123
3496	0	3	1	0	16	389	1	0	0	0.535605
3496	0	3	2	0	16	389	1	0	0	3.28285
3496	0	4	1	0	16	389	1	0	0	0.300916
3496	0	4	2	0	16	389	1	0	0	0.464057
3496	0	5	1	0	16	389	1	0	0	0.143965
3496	0	5	2	0	16	389	1	0	0	0.342123
3504	0	3	1	0	16	389	2	0	0	0.535605
3504	0	3	2	0	16	389	2	0	0	3.28285
3504	0	4	1	0	16	389	2	0	0	0.300916
3504	0	4	2	0	16	389	2	0	0	0.464057
3504	0	5	1	0	16	389	2	0	0	0.143965
3504	0	5	2	0	16	389	2	0	0	0.342123
3512	0	3	1	0	16	389	3	0	0	0.535605
3512	0	3	2	0	16	389	3	0	0	3.28285
3512	0	4	1	0	16	389	3	0	0	0.300916
3512	0	4	2	0	16	389	3	0	0	0.464057
3512	0	5	1	0	16	389	3	0	0	0.143965
3512	0	5	2	0	16	389	3	0	0	0.342123
3528	0	3	1	0	16	389	0	1	0	1.43515
3528	0	3	2	0	16	389	0	1	0	5.52155
3528	0	3	5	0	16	389	0	1	0	1.43515
3528	0	4	1	0	16	389	0	1	0	0.264344
3528	0	4	2	0	16	389	0	1	0	0.531411
3528	0	4	5	0	16	389	0	1	0	5.24162
3536	0	3	1	0	16	389	1	0	0	1.43515
3536	0	3	2	0	16	389	1	0	1	5.52155
3536	0	3	5	0	16	389	1	0	0	1.43515
3536	0	4	1	0	16	389	1	0	0	0.264344
3536	0	4	2	0	16	389	1	0	0	0.531411
3536	0	4	5	0	16	389	1	0	0	5.24162
3544	0	3	1	0	16	389	2	0	0	1.43515
3544	0	3	2	0	16	389	2	0	1	5.52155
3544	0	3	5	0	16	389	2	0	0	1.43515
3544	0	4	1	0	16	389	2	0	0	0.264344
3544	0	4	2	0	16	389	2	0	0	0.531411
3544	0	4	5	0	16	389	2	0	0	5.24162
3552	0	3	1	0	16	389	3	0	0	1.43515
3552	0	3	2	0	16	389	3	0	1	5.52155
3552	0	3	5	0	16	389	3	0	0	1.43515
3552	0	4	1	0	16	389	3	0	0	0.264344
3552	0	4	2	0	16	389	3	0	0	0.531411
3552	0	4	5	0	16	389	3	0	0	5.24162
3568	0	3	1	0	16	389	0	1	0	1.59522
3568	0	3	2	0	16	389	0	1	0	5.29768
3568	0	4	1	0	16	389	0	1	0	0.358211
3568	0	4	2	0	16	389	0	1	0	0.524675
3568	0	5	1	0	16	389	0	1	0	0.16277
3568	0	5	2	0	16	389	0	1	0	0.362332
3576	0	3	1	0	16	389	1	0	0	1.59522
3576	0	3	2	0	16	389	1	0	0	5.29768
3576	0	4	1	0	16	389	1	0	0	0.358211
3576	0	4	2	0	16	389	1	0	0	0.524675
3576	0	5	1	0	16	389	1	0	0	0.16277
3576	0	5	2	0	16	389	1	0	0	0.362332
3584	0	3	1	0	16	389	2	0	0	1.59522
3584	0	3	2	0	16	389	2	0	0	5.29768
3584	0	4	1	0	16	389	2	0	0	0.358211
3584	0	4	2	0	16	389	2	0	0	0.524675
3584	0	5	1	0	16	389	2	0	0	0.16277
3584	0	5	2	0	16	389	2	0	0	0.362332
3592	0	3	1	0	16	389	3	0	0	1.59522
3592	0	3	2	0	16	389	3	0	0	5.29768
3592	0	4	1	0	16	389	3	0	0	0.358211
3592	0	4	2	0	16	389	3	0	0	0.524675
3592	0	5	1	0	16	389	3	0	0	0.16277
3592	0	5	2	0	16	389	3	0	0	0.362332
3608	0	3	1	0	16	389	0	1	0	1.12428
3608	0	3	2	0	16	389	0	1	0	4.4022
3608	0	4	1	0	16	389	0	1	0	0.332746
3608	0	4	2	0	16	389	0	1	0	0.497734
3608	0	5	1	0	16	389	0	1	0	0.154412
3608	0	5	2	0	16	389	0	1	0	0.35335
3616	0	3	1	0	16	389	1	0	0	1.12428
3616	0	3	2	0	16	389	1	0	0	4.4022
3616	0	4	1	0	16	389	1	0	0	0.332746
3616	0	4	2	0	16	389	1	0	0	0.497734
3616	0	5	1	0	16	389	1	0	0	0.154412
